WKT,Enplanements,Passengers,Magnetic_Variation,County_s_State_Post_Office_Code,Official_Facility_Name,Elevation_Nearest_Tenth_Of_A_Foot_Msl,Has_Been_Designated_As_A_Customs_Landing_Rights_Airport,Location_Identifier,Departing_Flights,County_Or_Parish_Name,Magnetic_Direction,Arriving_Flights,Has_Been_Designated_As_An_International_Airport,Icao_Identifier,City_Name,Associated_Aeronautical_Chart,Airport_Activation_Date_Mm_Yyyy,State_Name,SHAPE_X,SHAPE_Y
"POINT (-87.5076944440049 41.2301388891529)",,,1,IN,Lowell,675,,C97,,Lake,W,,,,Lowell,Chicago,08/1980,Indiana,-87.5076944440049,41.2301388891529
"POINT (-157.019919722416 58.7328805554761)",,,21,AK,Naknek,70,N,5NK,,Bristol Bay,E,,N,,Naknek,Kodiak,06/1953,Alaska,-157.019919722416,58.7328805554761
"POINT (-93.6589037220963 33.7199811390101)",,,3,AR,Hope Muni,359,N,M18,,Hempstead,E,,N,,Hope,Memphis,07/1944,Arkansas,-93.6589037220963,33.7199811390101
"POINT (-91.5316388890245 42.029833333293)",,,2,IA,Marion,862,,C17,,Linn,E,,,,Marion,Chicago,09/1966,Iowa,-91.5316388890245,42.029833333293
"POINT (-94.8346944445231 40.331694444301)",,,5,MO,Rankin,976,,78Y,,Nodaway,E,,,,Maryville,Omaha,03/1974,Missouri,-94.8346944445231,40.331694444301
"POINT (-95.4177486108463 36.1439869446875)",,,6,OK,Buzzards Roost,661,,O18,,Mayes,E,,,,Inola,Kansas City,08/1969,Oklahoma,-95.4177486108463,36.1439869446875
"POINT (-96.7546944443157 33.3682763885679)",,,,TX,Four Winds,790,,9S1,,Collin,,,,,Celina,Dallas-Ft Worth,05/2007,Texas,-96.7546944443157,33.3682763885679
"POINT (-99.1890833331694 28.6855000001502)",,,8,TX,Dilley Airpark,542,N,24R,,Frio,E,,N,,Dilley,San Antonio,,Texas,-99.1890833331694,28.6855000001502
"POINT (-97.1384166666831 29.3131666667619)",,,6,TX,Yoakum Muni,365.4,N,T85,,Lavaca,E,,N,,Yoakum,San Antonio,01/1970,Texas,-97.1384166666831,29.3131666667619
"POINT (-176.646030555578 51.8779638889037)",2131,2134,7,AK,Adak,18,N,ADK,105,Aleutians West,E,105,N,PADK,Adak Island,W Aleutian Isls,04/1949,Alaska,-176.646030555578,51.8779638889037
"POINT (-154.182555556004 56.9386908331854)",932,1013,18,AK,Akhiok,44,N,AKK,390,Kodiak Island,E,381,N,PAKH,Akhiok,Kodiak,11/1979,Alaska,-154.182555556004,56.9386908331854
"POINT (-161.493330555967 60.9138111108968)",,,19,AK,Akiachak,23.3,N,Z13,,Bethel,E,,N,,Akiachak,Mc Grath,01/1968,Alaska,-161.493330555967,60.9138111108968
"POINT (-161.230583333611 60.9028888888906)",2048,3505,16,AK,Akiak,30,N,AKI,1777,Bethel,E,1782,N,PFAK,Akiak,Mc Grath,07/1966,Alaska,-161.230583333611,60.9028888888906
"POINT (-73.0325361108393 22.3837916668152)",,,,BS,Mayaguana,11,,MYMM,,Bahamas,,,Y,MYMM,Abrahams Bay,,,,-73.0325361108393,22.3837916668152
"POINT (-165.604111111456 54.1446111113588)",1411,1416,10,AK,Akutan,129.3,,7AK,561,Aleutians East,E,572,,PAUT,Akutan,,07/2012,Alaska,-165.604111111456,54.1446111113588
"POINT (-158.557755277358 59.2631458332945)",,,20,AK,Tripod,225,N,Z25,,Bristol Bay,E,,N,,Aleknagik,Kodiak,01/1966,Alaska,-158.557755277358,59.2631458332945
"POINT (-158.617866666229 59.2825555554505)",,,20,AK,Aleknagik /New,63,,5A8,,Bristol Bay,E,,,,Aleknagik,Kodiak,12/1982,Alaska,-158.617866666229,59.2825555554505
"POINT (-152.622166666671 66.5518333334633)",,,22,AK,Allakaket,441,,6A8,,Yukon-Koyukuk,E,,,PFAL,Allakaket,Fairbanks,10/1999,Alaska,-152.622166666671,66.5518333334633
"POINT (-157.857472222302 67.1063138887174)",,,21,AK,Ambler,334,N,AFM,,Northwest Arctic,E,,N,PAFM,Ambler,Fairbanks,,Alaska,-157.857472222302,67.1063138887174
"POINT (-151.177480277487 65.1017188889876)",,,26,AK,American Creek,500,N,80A,,Yukon-Koyukuk,E,,N,,American Creek,Fairbanks,08/1958,Alaska,-151.177480277487,65.1017188889876
"POINT (-148.998880555446 61.3413388887776)",,,25,AK,Bold,900,,A13,,Anchorage,E,,,,Anchorage,Anchorage,08/1990,Alaska,-148.998880555446,61.3413388887776
"POINT (-149.844724138892 61.2135450557002)",27,27,19,AK,Merrill Field,137,,MRI,20,Anchorage,E,18,,PAMR,Anchorage,Anchorage,05/1947,Alaska,-149.844724138892,61.2135450557002
"POINT (-160.19005555564 62.6473333332444)",559,986,15,AK,Anvik,297.3,,ANV,593,Kuskokwim,E,595,,PANV,Anvik,Mc Grath,06/1963,Alaska,-160.19005555564,62.6473333332444
"POINT (-145.579415277735 68.1146694444876)",1582,1637,26,AK,Arctic Village,2092,,ARC,527,Upper Yukon,E,524,,PARC,Arctic Village,Point Barrow,,Alaska,-145.579415277735,68.1146694444876
"POINT (-174.206183333276 52.220586110952)",,,8,AK,Atka,56.7,,AKA,,Aleutians West,E,,,PAAK,Atka,W Aleutian Isls,02/1983,Alaska,-174.206183333276,52.220586110952
"POINT (-162.274277778061 60.8678888890972)",,,18,AK,Atmautluak,19.4,N,4A2,,Bethel,E,,N,,Atmautluak,Bethel,07/1977,Alaska,-162.274277778061,60.8678888890972
"POINT (-157.435666666371 70.4671111111377)",1755,3690,20,AK,Atqasuk Edward Burnell Sr Memorial,101,N,ATK,903,North Slope,E,911,N,PATQ,Atqasuk,Cape Lisburne,07/1971,Alaska,-157.435666666371,70.4671111111377
"POINT (-143.581861110757 70.1340000000341)",2294,2558,27,AK,Barter Island Lrrs,8.7,N,BTI,559,Upper Yukon,E,559,N,PABA,Barter Island Lrrs,Point Barrow,,Alaska,-143.581861110757,70.1340000000341
"POINT (-165.299836944744 64.6797947223178)",,,17,AK,Basin Creek,140,N,Z47,,Nome,E,,N,,Basin Creek,Nome,08/1959,Alaska,-165.299836944744,64.6797947223178
"POINT (-156.144050555164 63.5716091665915)",,,23,AK,Bear Creek 3,740,N,Z48,,Kuskokwim,E,,N,,Bear Creek,Mc Grath,10/1951,Alaska,-156.144050555164,63.5716091665915
"POINT (-160.266205277845 56.0366855554707)",,,18,AK,Johnsons Landing,130,N,Z52,,Aleutian Islands,E,,N,,Bear Lake,Kodiak,02/1972,Alaska,-160.266205277845,56.0366855554707
"POINT (-147.406499999832 66.3622222223972)",617,766,24,AK,Beaver,365,N,WBQ,320,Upper Yukon,E,320,N,PAWB,Beaver,Fairbanks,11/1949,Alaska,-147.406499999832,66.3622222223972
"POINT (-151.529055555285 66.9139444445653)",1590,3243,20,AK,Bettles,647,,BTT,867,Yukon-Koyukuk,E,885,,PABT,Bettles,Fairbanks,01/1949,Alaska,-151.529055555285,66.9139444445653
"POINT (-149.81389722192 61.5361222223112)",,,19,AK,Big Lake,158,,BGQ,,Matanuska-Susitna,E,,,PAGQ,Big Lake,Anchorage,05/1951,Alaska,-149.81389722192,61.5361222223112
"POINT (-145.818194444893 66.2744722223259)",,,30,AK,Birch Creek,439.8,,Z91,,Fairbanks North Star,E,,,,Birch Creek,Fairbanks,09/1980,Alaska,-145.818194444893,66.2744722223259
"POINT (-149.508494555615 61.4159638610783)",,,25,AK,Birchwood,83,,BCV,,Anchorage,E,,,PABV,Birchwood,Anchorage,10/1949,Alaska,-149.508494555615,61.4159638610783
"POINT (-145.860886110711 63.5351463889891)",,,28,AK,Black Rapids,2125,,5BK,,Fairbanks North Star,E,,,,Black Rapids,Anchorage,09/1950,Alaska,-145.860886110711,63.5351463889891
"POINT (-141.113374999818 64.0783027776724)",,,31,AK,Boundary,2940,,BYA,,Upper Yukon,E,,,,Boundary,Dawson,,Alaska,-141.113374999818,64.0783027776724
"POINT (-166.465722222112 65.3313333335013)",1844,3280,17,AK,Brevig Mission,38,,KTS,1094,Nome,E,1095,,PFKT,Brevig Mission,Nome,,Alaska,-166.465722222112,65.3313333335013
"POINT (-161.149138889018 65.9815555554596)",,,15,AK,Buckland,29,,BVK,,Unorganized,E,,,PABL,Buckland,Nome,,Alaska,-161.149138889018,65.9815555554596
"POINT (-148.955616388805 63.3912047221671)",,,27,AK,Cantwell,2190,,TTW,,Matanuska-Susitna,E,,,PATW,Cantwell,Anchorage,10/1950,Alaska,-148.955616388805,63.3912047221671
"POINT (-144.780888888811 65.5739444444652)",10,180,20,AK,Central,937,,CEM,246,Upper Yukon,E,246,,PACE,Central,Dawson,09/1947,Alaska,-144.780888888811,65.5739444444652
"POINT (-143.739930277932 66.6450222222151)",714,732,26,AK,Chalkyitsik,544,,CIK,378,Upper Yukon,E,378,,PACI,Chalkyitsik,Dawson,09/1958,Alaska,-143.739930277932,66.6450222222151
"POINT (-149.579739166451 68.0654394444573)",,,28,AK,Chandalar Shelf,3222,,5CD,,Upper Yukon,E,,,,Chandalar Camp,Fairbanks,05/1976,Alaska,-149.579739166451,68.0654394444573
"POINT (-148.483222222022 67.5045166668011)",,,22,AK,Chandalar Lake,1920,,WCR,,Upper Yukon,E,,,PALR,Chandalar Lake,Fairbanks,08/1958,Alaska,-148.483222222022,67.5045166668011
"POINT (-164.27904861118 60.1367958335397)",,,17,AK,Chefornak,38.9,,CFK,,Bethel,E,,,PACK,Chefornak,Bethel,06/1974,Alaska,-164.27904861118,60.1367958335397
"POINT (-147.994734722551 60.0785611113306)",,,19,AK,Chenega Bay,68.9,,C05,,Seward,E,,,PFCB,Chenega,Seward,09/1994,Alaska,-147.994734722551,60.0785611113306
"POINT (-141.952279166865 64.0713383332098)",11,11,30,AK,Chicken,1640,N,CKX,95,Upper Yukon,E,95,N,,Chicken,Dawson,11/1949,Alaska,-141.952279166865,64.0713383332098
"POINT (-158.534266666502 56.311047222301)",146,547,19,AK,Chignik Lagoon,25,N,KCL,215,Lake And Peninsula,E,219,N,,Chignik Lagoon,Kodiak,,Alaska,-158.534266666502,56.311047222301
"POINT (-158.373236944103 56.3114624999875)",,,16,AK,Chignik,18,N,AJC,,Lake And Peninsula,E,,N,PAJC,Chignik,Kodiak,06/1968,Alaska,-158.373236944103,56.3114624999875
"POINT (-158.775361388627 56.2550472223994)",,,19,AK,Chignik Lake,50,N,A79,,Aleutian Islands,E,,N,,Chignik Lake,Cold Bay,09/1974,Alaska,-158.775361388627,56.2550472223994
"POINT (-142.048374166256 62.0711897221351)",63,63,29,AK,Chisana,3318,N,CZN,95,Fairbanks North Star,E,95,N,,Chisana,Anchorage,11/1949,Alaska,-142.048374166256,62.0711897221351
"POINT (-144.672444444681 62.5623333334878)",,,28,AK,Chistochina,1860.7,N,CZO,,Valdez-Chitna-Whitie,E,,N,,Chistochina,Anchorage,11/1949,Alaska,-144.672444444681,62.5623333334878
"POINT (-144.427096944388 61.5828591666829)",,,27,AK,Chitina,556,N,CXC,,Valdez-Chitna-Whitie,E,,N,,Chitina,Anchorage,07/1962,Alaska,-144.427096944388,61.5828591666829
"POINT (-159.215638888558 61.5790555556426)",,,15,AK,Chuathbaluk,244,,9A3,,Kuskokwim,E,,,PACH,Chuathbaluk,Mc Grath,01/1988,Alaska,-159.215638888558,61.5790555556426
"POINT (-144.076197222141 65.8279166666308)",,,30,AK,Circle City,613,,CRC,,Upper Yukon,E,,,PACR,Circle,Dawson,02/1988,Alaska,-144.076197222141,65.8279166666308
"POINT (-144.610783611065 65.4854722223552)",,,30,AK,Circle Hot Springs,956,N,CHP,,Upper Yukon,E,,N,,Circle Hot Springs,Dawson,09/1947,Alaska,-144.610783611065,65.4854722223552
"POINT (-81.9653587775065 32.8935542497327)",,,5,GA,Millen,237,N,2J5,,Jenkins,W,,N,,Millen,Atlanta,08/1967,Georgia,-81.9653587775065,32.8935542497327
"POINT (-158.529388889069 58.833694444603)",495,765,15,AK,Clarks Point,80,N,CLP,380,Bristol Bay,E,380,N,PFCL,Clarks Point,Kodiak,,Alaska,-158.529388889069,58.833694444603
"POINT (-149.116527777928 64.300388888912)",,,27,AK,Clear,559,N,Z84,,Yukon-Koyukuk,E,,N,PACL,Clear,Fairbanks,,Alaska,-149.116527777928,64.300388888912
"POINT (-149.186250277957 64.2570341668286)",,,27,AK,Clear Sky Lodge,650,N,CLF,,Yukon-Koyukuk,E,,N,,Clear,Fairbanks,09/1966,Alaska,-149.186250277957,64.2570341668286
"POINT (-147.17864027806 63.0267747221391)",,,27,AK,Clearwater,2900,N,Z86,,Southeast Fairbanks,E,,N,,Clearwater,Anchorage,08/1963,Alaska,-147.17864027806,63.0267747221391
"POINT (-150.203888889064 67.2521666668145)",253,802,23,AK,Coldfoot,1045.5,N,CXF,255,Upper Yukon,E,255,N,PACX,Coldfoot,Fairbanks,01/1971,Alaska,-150.203888889064,67.2521666668145
"POINT (-149.718802222612 60.4827447223791)",,,25,AK,Quartz Creek,466,N,JLA,,Kenai-Cook Inlet,E,,N,,Cooper Landing,Anchorage,,Alaska,-149.718802222612,60.4827447223791
"POINT (-145.294080832943 61.9411900000502)",,,27,AK,Copper Center 2,1150,N,Z93,,Valdez-Chitna-Whitie,E,,N,,Copper Center,Anchorage,10/1952,Alaska,-145.294080832943,61.9411900000502
"POINT (-145.726704166529 60.5439033334737)",,,26,AK,Cordova Muni,12,N,CKU,,Cordova-Mccarthy,E,,N,,Cordova,Anchorage,11/1940,Alaska,-145.726704166529,60.5439033334737
"POINT (-163.70344722239 64.8978827776709)",,,18,AK,Council,85,,K29,,Nome,E,,,,Council,Nome,11/1990,Alaska,-163.70344722239,64.8978827776709
"POINT (-158.134944444641 61.8678888887236)",,,21,AK,Crooked Creek,180.6,,CJX,,Kuskokwim,E,,,,Crooked Creek,Mc Grath,07/1978,Alaska,-158.134944444641,61.8678888887236
"POINT (-156.904673888927 66.9433380555219)",9,9,23,AK,Dahl Creek,260,N,DCK,2,Kobuk,E,2,N,,Dahl Creek,Fairbanks,07/1951,Alaska,-156.904673888927,66.9433380555219
"POINT (-162.767055555871 66.0691111111133)",,,16,AK,Deering,30,N,DEE,,Kobuk,E,,N,PADE,Deering,Nome,,Alaska,-162.767055555871,66.0691111111133
"POINT (-145.717326389173 64.0504375001119)",,,28,AK,Delta Junction,1150,,D66,,Fairbanks North Star,E,,,,Delta Junction,Fairbanks,11/1990,Alaska,-145.717326389173,64.0504375001119
"POINT (-141.149611111493 64.7780833333309)",507,515,21,AK,Eagle,908,Y,EAA,217,Upper Yukon,E,216,N,PAEG,Eagle,Dawson,11/1949,Alaska,-141.149611111493,64.7780833333309
"POINT (-157.375427777815 58.1854902778749)",,,18,AK,Egegik,92,,EII,,Bristol Bay,E,,,PAII,Egegik,Kodiak,09/1994,Alaska,-157.375427777815,58.1854902778749
"POINT (-157.471136110867 59.3568388888615)",167,518,17,AK,Ekwok,142.2,N,KEK,315,Bristol Bay,E,315,N,,Ekwok,Kodiak,10/1960,Alaska,-157.471136110867,59.3568388888615
"POINT (-162.270527777976 64.6149722223983)",2085,4604,14,AK,Elim,162,N,ELI,1377,Nome,E,1384,N,PFEL,Elim,Nome,10/1952,Alaska,-162.270527777976,64.6149722223983
"POINT (-164.490749999967 62.7861388890277)",,,14,AK,Emmonak,13,,ENM,,Wade Hampton,E,,,PAEM,Emmonak,Bethel,06/1988,Alaska,-164.490749999967,62.7861388890277
"POINT (-150.220538611289 65.1759113889011)",,,26,AK,Eureka Creek,700,N,2Z2,,Yukon-Koyukuk,E,,N,,Eureka Creek,Fairbanks,08/1963,Alaska,-150.220538611289,65.1759113889011
"POINT (-148.863138888894 64.0421111110816)",,,27,AK,Eva Creek,2817,N,2Z3,,Fairbanks North Star,E,,N,,Eva Creek,Fairbanks,08/1958,Alaska,-148.863138888894,64.0421111110816
"POINT (-147.928611110706 64.1980555554394)",,,25,AK,Gold King Creek,1720,,AK7,,Fairbanks North Star,E,,,PAAN,Fairbanks,Fairbanks,02/2001,Alaska,-147.928611110706,64.1980555554394
"POINT (-163.407077777427 54.8478194444199)",355,369,16,AK,False Pass,18.7,N,KFP,261,Aleutian Islands,E,261,N,PAKF,False Pass,Cold Bay,,Alaska,-163.407077777427,54.8478194444199
"POINT (-153.89028333334 62.5091111111969)",,,24,AK,Farewell,1535,N,FWL,,Kuskokwim,E,,N,PAFW,Farewell,Mc Grath,09/1947,Alaska,-153.89028333334,62.5091111111969
"POINT (-153.611120555299 62.5316202777988)",,,24,AK,Tin Creek,1151,N,TNW,,Kuskokwim,E,,N,PAFL,Farewell Lake,Mc Grath,08/1947,Alaska,-153.611120555299,62.5316202777988
"POINT (-166.131522222319 64.8317272222935)",,,16,AK,Feather River,325,N,3Z1,,Nome,E,,N,,Feather River,Nome,08/1963,Alaska,-166.131522222319,64.8317272222935
"POINT (-157.989069999974 62.4526488887626)",,,21,AK,Flat,309,N,FLT,,Kuskokwim,E,,N,,Flat,Mc Grath,08/1947,Alaska,-157.989069999974,62.4526488887626
"POINT (-149.489916667006 68.4796666665951)",,,22,AK,Galbraith Lake,2663,,GBH,,Nome,E,,,PAGB,Galbraith Lake,Point Barrow,01/1971,Alaska,-149.489916667006,68.4796666665951
"POINT (-149.125789166861 60.9660958334897)",,,25,AK,Girdwood,150,N,AQY,,Anchorage,E,,N,,Girdwood,Anchorage,,Alaska,-149.125789166861,60.9660958334897
"POINT (-142.380950833075 61.455134444406)",,,28,AK,Glacier Creek,2380,N,KGZ,,Cordova-Mccarthy,E,,N,,Glacier Creek,Anchorage,01/1952,Alaska,-142.380950833075,61.455134444406
"POINT (-163.007170278005 64.5504552776252)",1623,4021,16,AK,Golovin,59,,GLV,1214,Nome,E,1224,,PAGL,Golovin,Nome,01/1990,Alaska,-163.007170278005,64.5504552776252
"POINT (-161.573666666348 59.1178611110443)",1394,1711,18,AK,Goodnews,18.1,N,GNU,1103,Bethel,E,1105,N,,Goodnews,Kodiak,10/1951,Alaska,-161.573666666348,59.1178611110443
"POINT (-149.842684722448 61.3944513886829)",,,25,AK,Goose Bay,78,N,Z40,,Anchorage,E,,N,,Goose Bay,Anchorage,10/1949,Alaska,-149.842684722448,61.3944513886829
"POINT (-160.066388888626 62.8920833331373)",756,967,20,AK,Grayling,137.5,N,KGX,669,Kuskokwim,E,667,N,PAGX,Grayling,Mc Grath,,Alaska,-160.066388888626,62.8920833331373
"POINT (-145.454333332958 62.1549444443103)",218,269,23,AK,Gulkana,1586.1,N,GKN,303,Valdez-Chitna-Whitie,E,303,N,PAGK,Gulkana,Anchorage,07/1947,Alaska,-145.454333332958,62.1549444443103
"POINT (-148.968833333022 63.8675833331621)",,,27,AK,Healy River,1263.2,N,HRR,,Yukon-Koyukuk,E,,N,PAHV,Healy,Anchorage,10/1950,Alaska,-148.968833333022,63.8675833331621
"POINT (-159.774916666927 62.1883333331409)",,,18,AK,Holy Cross,70,N,HCA,,Kuskokwim,E,,N,PAHC,Holy Cross,Mc Grath,08/1947,Alaska,-159.774916666927,62.1883333331409
"POINT (-149.623838888476 60.9041502776021)",,,25,AK,Hope,200,N,5HO,,Seward,E,,N,,Hope,Anchorage,11/1950,Alaska,-149.623838888476,60.9041502776021
"POINT (-141.181294999686 62.0071736111399)",,,29,AK,Horsfeld,3300,N,4Z5,,Fairbanks North Star,E,,N,,Horsfeld,Anchorage,,Alaska,-141.181294999686,62.0071736111399
"POINT (-154.264694444126 66.0390833333417)",832,1755,24,AK,Hughes,299.1,N,HUS,408,Yukon-Koyukuk,E,404,N,PAHU,Hughes,Fairbanks,04/1950,Alaska,-154.264694444126,66.0390833333417
"POINT (-156.3513888886 65.69786111104)",,,19,AK,Huslia,219.7,,HLA,,Yukon-Koyukuk,E,,,PAHL,Huslia,Fairbanks,04/2003,Alaska,-156.3513888886,65.69786111104
"POINT (-155.90177277786 59.3240416665337)",78,182,19,AK,Igiugig,90,N,IGG,165,Bristol Bay,E,165,N,PAIG,Igiugig,Kodiak,12/1950,Alaska,-155.90177277786,59.3240416665337
"POINT (-151.522381111352 59.4521605553512)",,,23,AK,Jakolof Bay,5,N,4Z9,,Kenai-Cook Inlet,E,,N,,Jakolof Bay,Kodiak,,Alaska,-151.522381111352,59.4521605553512
"POINT (-133.910261111262 56.9613624998598)",,,21,AK,Kake,172,,AFE,,Wrangell-Petersburg,E,,,PAFE,Kake,Juneau,11/1986,Alaska,-133.910261111262,56.9613624998598
"POINT (-158.7413058331 64.3189799999343)",1519,2477,18,AK,Kaltag,181,N,KAL,816,Yukon-Koyukuk,E,818,N,PAKV,Kaltag,Nome,06/1963,Alaska,-158.7413058331,64.3189799999343
"POINT (-150.993954721859 63.5417147222776)",,,25,AK,Kantishna,1575,N,5Z5,,Yukon-Koyukuk,E,,N,,Kantishna,Anchorage,08/1958,Alaska,-150.993954721859,63.5417147222776
"POINT (-150.329520277604 63.7486780554985)",,,26,AK,Stampede,1850,N,Z90,,Yukon-Koyukuk,E,,N,,Kantishna,Anchorage,05/1957,Alaska,-150.329520277604,63.7486780554985
"POINT (-154.453805555306 57.5660555556251)",180,412,21,AK,Karluk,141.9,N,KYK,308,Kodiak Island,E,300,N,PAKY,Karluk,Kodiak,07/1964,Alaska,-154.453805555306,57.5660555556251
"POINT (-162.524305555782 60.873333333405)",,,12,AK,Kasigluk,47.9,N,Z09,,Bethel,E,,N,PFKA,Kasigluk,Bethel,,Alaska,-162.524305555782,60.873333333405
"POINT (-151.262771388975 60.3533091664539)",,,24,AK,Kasilof,125,N,5KS,,Kenai-Cook Inlet,E,,N,,Kasilof,Anchorage,05/1947,Alaska,-151.262771388975,60.3533091664539
"POINT (-151.573217777596 59.4688269444937)",,,23,AK,Kasitsna,5,N,5Z7,,Kenai-Cook Inlet,E,,N,,Kasitsna Bay,Kodiak,06/1966,Alaska,-151.573217777596,59.4688269444937
"POINT (-162.266247222103 55.1163472223377)",2317,2369,14,AK,King Cove,155,N,KVC,995,Aleutians East,E,995,N,PAVC,King Cove,Cold Bay,,Alaska,-162.266247222103,55.1163472223377
"POINT (-164.028391666909 59.9316486109252)",,,14,AK,Kipnuk,0.5,N,IIK,,Bethel,E,,N,PAKI,Kipnuk,Bethel,08/1973,Alaska,-164.028391666909,59.9316486109252
"POINT (-133.075997222358 55.579233333224)",,,20,AK,Klawock,79.9,N,AKW,,Prince Of Wales,E,,N,PAKW,Klawock,Ketchikan,05/1975,Alaska,-133.075997222358,55.579233333224
"POINT (-156.897333333431 66.9123333333317)",1193,3002,19,AK,Kobuk,142,N,OBU,934,Kobuk,E,936,N,PAOB,Kobuk,Fairbanks,06/1963,Alaska,-156.897333333431,66.9123333333317
"POINT (-152.373841388654 57.8059174999001)",,,22,AK,Kodiak Muni,139,N,KDK,,Kodiak Island,E,,N,PAKD,Kodiak,Kodiak,05/1962,Alaska,-152.373841388654,57.8059174999001
"POINT (-157.010481944786 58.8701049997896)",,,21,AK,Koggiung,30,N,5KO,,Bristol Bay,E,,N,,Koggiung,Kodiak,06/1953,Alaska,-157.010481944786,58.8701049997896
"POINT (-154.802591666555 59.4332861112008)",,,18,AK,Kokhanok,115,,9K2,,Lake And Peninsula,E,,,PFKK,Kokhanok,Kodiak,11/1986,Alaska,-154.802591666555,59.4332861112008
"POINT (-157.259472222252 59.7266419442455)",,,19,AK,Koliganek,269,,JZZ,,Bristol Bay,E,,,PAJZ,Koliganek,Kodiak,04/1997,Alaska,-157.259472222252,59.7266419442455
"POINT (-162.880593888735 59.9616308334825)",,,18,AK,Kongiganak,32.7,N,DUY,,Bethel,E,,N,PADY,Kongiganak,Bethel,09/1976,Alaska,-162.880593888735,59.9616308334825
"POINT (-163.532638888966 63.0305833334873)",,,15,AK,Kotlik,13.6,,2A9,,Wade Hampton,E,,,PFKO,Kotlik,Bethel,10/1999,Alaska,-163.532638888966,63.0305833334873
"POINT (-161.15426555548 64.9394894445125)",2075,4347,16,AK,Koyuk Alfred Adams,154,N,KKA,1685,Nome,E,1702,N,PAKK,Koyuk,Nome,09/1952,Alaska,-161.15426555548,64.9394894445125
"POINT (-157.730444444873 64.8758055556299)",932,1927,17,AK,Koyukuk,149,N,KYU,588,Yukon-Koyukuk,E,589,N,PFKU,Koyukuk,Fairbanks,11/1949,Alaska,-157.730444444873,64.8758055556299
"POINT (-155.095612500262 58.9650050002209)",,,15,AK,Kulik Lake,717,N,LKK,,Bristol Bay,E,,N,PAKL,Kulik Lake,Kodiak,06/1959,Alaska,-155.095612500262,58.9650050002209
"POINT (-156.932153055228 58.9626069445717)",,,21,AK,Kvichak /Diamond J/,25,N,9Z7,,Bristol Bay,E,,N,,Kvichak,Kodiak,09/1963,Alaska,-156.932153055228,58.9626069445717
"POINT (-163.168037499661 59.8755847220252)",,,14,AK,Kwigillingok,21.4,N,GGV,,Bethel,E,,N,PAGG,Kwigillingok,Bethel,09/1976,Alaska,-163.168037499661,59.8755847220252
"POINT (-146.576324999556 62.2907888886928)",,,27,AK,Lake Louise,2477,N,Z55,,Valdez-Chitna-Whitie,E,,N,,Lake Louise,Anchorage,02/1958,Alaska,-146.576324999556,62.2907888886928
"POINT (-153.976666666856 57.5350833334542)",,,21,AK,Larsen Bay,87,N,2A3,,Aleutian Islands,E,,N,PALB,Larsen Bay,Kodiak,,Alaska,-153.976666666856,57.5350833334542
"POINT (-149.370196111288 60.4110963887407)",,,25,AK,Lawing,475,N,9Z9,,Kenai-Cook Inlet,E,,N,,Lawing,Anchorage,,Alaska,-149.370196111288,60.4110963887407
"POINT (-156.859888888884 59.1270833331563)",,,18,AK,Levelock,55.8,,9Z8,,Bristol Bay,E,,,,Levelock,Kodiak,06/2002,Alaska,-156.859888888884,59.1270833331563
"POINT (-155.440386111123 61.3591305556395)",,,22,AK,Lime Village,545,,2AK,,Kuskokwim,E,,,,Lime Village,Mc Grath,06/1979,Alaska,-155.440386111123,61.3591305556395
"POINT (-148.654641666758 65.4701083333122)",,,27,AK,Livengood Camp,425,N,4AK,,Yukon-Koyukuk,E,,N,,Livengood,Fairbanks,07/1975,Alaska,-148.654641666758,65.4701083333122
"POINT (-142.903737221921 61.437060833205)",,,28,AK,Mc Carthy,1531,N,15Z,,Cordova-Mccarthy,E,,N,PAMX,Mccarthy,Anchorage,,Alaska,-142.903737221921,61.437060833205
"POINT (-142.889825278119 61.2187216665787)",,,28,AK,Jakes Bar,1052,N,AK0,,Cordova-Mccarthy,E,,N,,Mccarthy,Anchorage,07/1952,Alaska,-142.889825278119,61.2187216665787
"POINT (-155.607044444428 62.9527833333569)",2157,2705,19,AK,Mc Grath,341,N,MCG,536,Kuskokwim,E,535,N,PAMC,Mcgrath,Mc Grath,08/1947,Alaska,-155.607044444428,62.9527833333569
"POINT (-148.910638333621 63.7325983334223)",,,27,AK,Mc Kinley National Park,1720,N,INR,,Yukon-Koyukuk,E,,N,PAIN,Mckinley Park,Anchorage,,Alaska,-148.910638333621,63.7325983334223
"POINT (-150.647570611357 64.9879507221037)",68,141,10,AK,Manley Hot Springs,270,N,MLY,156,Yukon-Koyukuk,E,157,N,PAML,Manley Hot Springs,Fairbanks,11/1949,Alaska,-150.647570611357,64.9879507221037
"POINT (-158.901888888885 58.9320555556118)",,,16,AK,Manokotak,106.6,N,MBA,,Bristol Bay,E,,N,PAMB,Manokotak,Kodiak,08/1971,Alaska,-158.901888888885,58.9320555556118
"POINT (-162.026111111082 61.8641666666983)",,,13,AK,Marshall Don Hunter Sr,115,,MDM,,Wade Hampton,E,,,PADM,Marshall,Bethel,03/2003,Alaska,-162.026111111082,61.8641666666983
"POINT (-142.686774999691 61.3356741664823)",2,3,28,AK,May Creek,1650,N,MYK,101,Cordova-Mccarthy,E,101,N,,May Creek,Anchorage,07/1950,Alaska,-142.686774999691,61.3356741664823
